sender,text,intent,label
+63640****000,"Make money while watching YouTube, earn 500P per day, contact the tutor to receive 138P. zklq.bid",Job Scam,7
+63957****154,Mag-ingat kayo palagi.,HAM,5
+6393093***81,"Win big with GoJackpot! Get up to 0.6% daily rebate and compete in the Slots Deposit Tournament gojackpotwin.de for a Xiaomi 14 worth 47,999p.",Gambling Scam,3
+63918****279,"The Biggest redevelopment along C5 in now ongoing! 16 hectares mix-used master planned community by ""Ortigas & Company in Synergy with Ayala Land"", neighboring well-knowned communities like Valle Verde will soon cater your needs. The 1st residential tower within this community will soon be up for grabs. Be part of the this luxurious community at an affordable price. For inquiries, kindly reply with your name and email address.",Commercial Spam,1
+63640****000,"6rse3pihnaele8.sidewayshogwort.cx/2c8zks6io9337rcmd6r9b7vg Hindi mo na kailangang mag-alala sa puhunan. Dito, may libreng deposit money ka na!",Prize Scam,10
PLDTRewards,"Celebrate the love month with an exclusive treat from our newest partner, Temu! Enjoy up to 50% OFF with discount vouchers-no Crystals required. Make your Valentine's shopping extra special. Activate your PLDT Home Rewards account and redeem today!",Commercial Spam,1
+63981****847,"Angela T***** Dear, magrehistro at may 600p panglaro, pindutin para kunin http://casjp3.com",Gambling Scam,3
BDO Deals,"Visit the BDO Travel Sale at Power Plant Mall, South Court, R1 Level or book online at www. bdo. com. ph/travel from October 10-13, 2024 to unlock big savings from PAL, Emirates, JAL, Korean Air, Turkish Airlines, Asiana Airlines, ANA, China Airlines, Starlux, Zipair & more w/ your BDO Cards! Search BDO Travel Sale on BDO website for T&Cs. DTI202138. To stop msgs,txt STOP to 225678",Commercial Spam,1
+63917****846,"Barbie Almalbis Live at Vuâ€™s Bar and Lounge! âœ¨ðŸŽ¸ Get ready for an unforgettable night with Barbie Almalbis as she brings her iconic sound to the skyline! ðŸ“ Venue: Vuâ€™s Bar and Lounge, 45th Floor, Marco Polo Ortigas Manila ðŸ“… Date: June 13, 2025 (Friday) ðŸ•¢ Doors Open: 7:30 PM ðŸŽ¶ Performance Starts: 8:00 PM ðŸŽŸï¸ Entrance Fee: â‚±1,500 per person ðŸ¸ Includes a welcome drink to kick off the night! Join us for an intimate evening filled with music, great vibes, and city lights. Limited slots availableâ€”come early, bring your friends, and donâ€™t miss this one-of-a-kind performance above the clouds! ðŸ“ž Reserve your spot now! Contact us at 0917 133 4192 or 0917 129 3846 #BarbieAlmalbisLive #VusBarAndLounge #MarcoPoloOrtigas #LiveMusicManila #OPMNight",Commercial Spam,1
+63951****145,"Today's Payday Blast on GoJackpot, Jan 30 & 31! New players grab 777p & 177p bonus + 155% Extra Deposit Bonus. Play & Win millions Prizes at GoJackpot2.tv",Gambling Scam,3
+63900****000,"Weekend fun at Pwin777! Win an iPhone 14 Pro Max, daily bonuses up to 77777p, and exciting events. Visit p777a14.xyz now!",Raffle Scam,11
+63981****417,cutt.ly/BingoplusPH,Gambling Scam,3
+6398154***40,COD63 Is Best Online Casino in The Philippines.Register Now FREE 178 BONUS.24/7 Immediate Cash In/Out.More Promotions cod6311.xyz,Gambling Scam,3
+63985****553,"Magdeposito ng 100P, makakuha ng 117P na libre, 1X turnover 17s7.ca",Gambling Scam,3
+63985****321,"Dahil nabasa mo ito, sign na ito para mag laro! click the link now!! : http://fdsv05.site",Gambling Scam,3
gcash,"Go grocery shopping even on a tight budget! Just use GCredit to pay later in Waltermart, Savemore, Marketplace, and S&R. Go to your GCash dashboard and tap GCredit to start using it.",Commercial Spam,1
+63920****054,"<REAL NAME>,Get started with SugarPlay! Deposit 100peso, claim 2,000 welcome bonus + 3% Extra Deposit Bonus. Join now for unlimited rewards at sgbett2.com",Gambling Scam,3
+63981****005,REGISTER and DEPO GET UP TO PHP5000 WELCOME BONUS!!Small amount to win BIG 2M JACKPOT!!24/7chat:https://atbunny.bet/help VISIT:https://t.ly/ATEbunny@02.com,Gambling Scam,3
+63981****037,Your number is out of network coverage. Get back to me here regarding the urgent remote job vacancy: bertche6732@gmail.com,Job Scam,7
+6391064***64,"Libreng 100 pesos para sa'yo! Tara na at makakuha! spinsnow.eu Mag-Enjoy ka sa Spins, bawat laro ay may mga bonus! sign up now!",Gambling Scam,3
GCash,"Last chance to get your credit limit increase! Kunin na ang easy cash up to PHP 25,000 para hindi na kulangin ang budget ngayong 2024! Tap Borrow > GLoan in the GCash app to avail. Promo runs until Jan 20 2024.",Commercial Spam,1
+63985****309,"Mag-log in para makatanggap ng hanggang 555, at magkaroon din ng pagkakataong manalo ng IPhone15Pro >>> klv7o7bbea.uk",Prize Scam,10
+63917****846,"Late nights just got better! ðŸŒƒðŸ¹ Join us at Vuâ€™s Sky Bar and Lounge as we celebrate 11 amazing years of Marco Polo Ortigas Manila! Raise a glass to our 11th Anniversary with our â€œ11th Hour Specialâ€ at Vuâ€™s Sky Bar and Lounge. From July 1â€“9, enjoy 50% off on all beverages â€” including signature cocktails, house wine, beer, and non-alcoholic drinks â€” from 11:00 PM to 12:00 AM. Order at least one food item per table to unlock this exclusive treat. Experience refined evenings high above the city. #MarcoPoloOrtigas #11thHourSpecial #VusSkyBar #AnniversaryCelebration",Commercial Spam,1
+63936****479,Great News! You're the lucky winner of our limited NetflÃ­x T-shirt and Mug. Just TYPE YES if you want to proceed. Thank you for choosing Globe Postpaid.,Prize Scam,10
smart,"Stream epic live games & concerts on the Smart LiveStream App! Watch UAAP, PVL, NBA, & more live! Best enjoyed with your Smart Signature Plan. Download now smrt.ph/livestream",Commercial Spam,1
+63640****000,Ano? Daily cashback at P777 na bonus? Halika at subukan lamang sa W19 Games! w19b2.xyz,Prize Scam,10
+63948****912,Malugod kang tinatanggap ng PWIN777! Ang mga bagong miyembro ay maaaring magtamasa ng 100% benepisyo sa kanilang unang deposito na P197! p777a1.xyz,Gambling Scam,3
+63981****434,Be the One Luckiest Player here at W+ Sign up and Get 8888 Bonus Today at wbonu. com,Gambling Scam,3
SMART,You're almost out of data. You have less than 200MB left from your plan's data allowance.,Commercial Spam,1
+63951****337,"Sa Christmas carnival, ang mga bagong KKBE users ay makakakuha ng P155 sa pamamagitan ng recharging ng P155. 1x turnover! xnd7.bid",Gambling Scam,3
BDO Deals,P150 off on foodpanda every weekend w/ BDO Credit Card! Use BDODEALS on P800 spend til 7/12/26 (Fri-Sun). T&C: search foodpanda at deals .bdo .com .ph DTI257584,Commercial Spam,1
BDO Deals,15% OFF at OUR HOME! Offer is valid on select items with your BDO Card from Mar 1-31. Visit the BDO website and search OUR HOME for T&Cs. DTI250346,Commercial Spam,1
+63985****202,"phluck.tv/5oZT Walang hulog, walang alala. Dito, libreng pera para sa masayang paglalaro.",Gambling Scam,3
+63946****182,[NAME] !Nagbabagang kaganapan sa Winning+ Mag rehistro at Kuhanin ang Jili Mega Jackpot at 8888 Bonus! wppremyo.com/LUCK8888,Gambling Scam,3
+63964****106,Bored ka na? Laro ka muna Free 277 pesos sa unang deposito Register: clickhere.cx/bzs5p1vx9,Gambling Scam,3
+63907****704,"Your loan has been approved, please login to withdraw, link: http://bppoo.com/aeE7ji",Loan Scam,8
+6390704***45,"February Welcome, come to JILIVIP to play slot and win big prizes. Deposit 177 and get 354: 6459.de/yvJl",Gambling Scam,3
BDO Deals,"Enjoy 50% OFF on buffet at Seasonal Tastes, The Westin Manila with your BDO Card! Valid for 2 to 10 pax til 06/30/25 Search Westin on BDO web for T&C DTI207939",Commercial Spam,1
+63908****485,"Mag-recharge get 100% bonus, gamitin ang 100 para manalo ng 10k! y6xte4ab.ca",Raffle Scam,11
+63912****701,"Magparehistro para sa libreng ?7777, tumaya:?dice16.tw/mQH",Gambling Scam,3
GCash,Go full tank even on a budget! Pay later at the nearest gas station with GCredit. Go to your GCash dashboard and tap GCredit to start using it.,Commercial Spam,1
+63981****939,Wag na masyadong mapakapagod dahil friday na! Isa sa pinaka the BE$T na gawin mamaya ay ang mag Enjoy dito! apkgametop.com/LivePH See you later my friend!,Gambling Scam,3
PETRON,"Hi, ! Please be advised that the PVC system will undergo an activity from Apr 29 â€“ May 2, 2026. During this period, points redemption and points balance viewing in the PVC app will be temporarily unavailable. Rest assured, your existing points balance remains intact and you will still continue to earn points for all transactions made during this time. Notification will be sent upon completion of system maintenance. For inquiries, contact the PVC Hotline: (02)8802-7777. Thank you for your understanding!",Commercial Spam,1
+6396046***67,Nagagalak kami sa iyong pagbabalik! Ibibigay namin sa iyo ang 50% na bonus para sa iyong pagbabalik! tinyurl.com/42ywnhdp,Gambling Scam,3
+63967****836,we have new lucky draw! from 1 sp1n per day its 2 now! cla1m yours now! sl0ts f1shing C0CKF1GHTING n more! web: Lazadal.Online/z1nS8Rk,Gambling Scam,3
BDO Deals,"Hi Scott! Make your first purchase count! Save your card & get P500 Cashback for a min. cumulative spend of P3.5K on Shopee w/ your BDO Mastercard Credit Card. To join, enroll your Promo ID 432A4649AA Promo runs from 09/20-10/20. For T&Cs, visit the BDO website & search Shopee Cashback.DTI202550",Commercial Spam,1
GCash,"Time to relive some fun memories! Sagot ng GGives ang reunion & big celebrations, 0 downpayment & no credit card needed. Mag-GGives na!",Commercial Spam,1
GCash,Gawing special ang Mother's Day celebration mo with GGives! Dine at Cafe Mary Grace and pay with GGives for affordable installments. Tap Borrow > GGives to learn more.,Commercial Spam,1
+6398531***11,B D O-Advisory:Your registered mobile number needs to be updated today. Please update here: https://kol.vin/updatehere to continue receiving (OTP),Bank Scam,0
+63909****911,May nanalo na ng mega jackpot worth 39.6Million for only 1peso! try mo na rin at manalo sa bit.ly / BINGOPLUS1 Free40PHP after sign-up. Easy cash in/out via Gcash,Gambling Scam,3
+6396207***11,Register to receive 88p: http://jackpot8.guru receive cash red envelopes every day: party bonus 77.7 billion p,Gambling Scam,3
GCash,"Mas mataas na ang iyong GLoan credit limit! Avail na ng easy pandagdag budget up to PHP 25,000! Tap Borrow > GLoan in the GCash app to avail. Promo runs until Jan. 20, 2024.",Commercial Spam,1
+63946****023,"<REAL NAME>, Register & Become the next Winner! Join WinningPlus Event now Win upto 159,900 & Win more ! Sign up wplusph.com",Gambling Scam,3
BDO Deals,"BUY NOW, PAY 4 MONTHS LATER at 0% interest up to 24 mos. at Power Mac Center & The Loop stores w/ your BDO Credit Card! Plus, enjoy these exclusive deals until Oct. 20, 2024: - Cash/straight price on 0% interest on 3 mos on any iPhone 16 Series - P3K Cashback w/ a min. P60K spend (net of discount) on 3-24 mos - P2K OFF w/ a min. P60K spend on 6-24 mos Enroll now using your Promo ID 432A4649AA to avail the cashback. Visit BDO website for T&Cs. DTI205054",Commercial Spam,1
gcash,Never miss your favorite shows! Mag-Subscribe sa HBO Go for 1 month via GCash. No advisories? Opt out via our GCash Help Center.,Commercial Spam,1
+63981****877,"MEGA888 Grand Opening Promo! Exclusive discounts and gift bundles for the first 1,000 customers nationwide. Shop now and save big!",Commercial Spam,1
+63981****411,"[FULL NAME],Praise sa iyong kontribusyon, pindutin para kunin ang 600p bonushttp://9dv1t8.com,Praise sa iyong kontribusyon, pindutin para kunin ang 600p bonushttp://9dv1t8.com",Investment Scam,6
BDO Deals,"Up to P1000 Cashback on Shopee 3.3 w/ BDO Credit Cards on Mar 2-4! Enroll your Promo ID 432A4649AA til 3/5. For T&C, search Shopee on the BDO site.DTI216110",Commercial Spam,1
BDO Deals,"Enjoy 35% OFF on buffet at Cafe Ilang-Ilang, The Manila Hotel with your BDO Card! Promo rates per pax are valid until 12/30/24: P2,142 - Mon-Sat lunch P2,240 - Sun lunch & Sun-Wed dinner P2,659 - Thu-Sat dinner Call (02) 8527 0011 to reserve. Search Manila Hotel on BDO site for T&C. DTI186240,186250",Commercial Spam,1
+63912****328,"Magparehistro para sa libreng â‚±7777, tumaya:â€€coin0.tw/1t5U",Gambling Scam,3
SMART,"Hello Scott! Unleash the perks of being a Smart Postpaid subscriber! Enjoy a P5,000 Welcome Gift from UnionBank when you apply for their UnionBank Rewards Credit Card and enroll your Postpaid Account to Auto Bills Payment. + No Annual Fees Forever when you spend P20,000 within 60 days of Auto Bill enrollment. Apply now! smrt.ph/UBWelcomeGift Promo runs until Feb. 29, 2024. T&Cs apply. DTI#181104",Commercial Spam,1
+63900****000,"Hello, new free money bonus 777 with no deposit condition, please login http://5s30c.com to get free money 777 now",Prize Scam,10
+63946****842,Sumali na sa PWIN777! Exclusive member Red Envelope promo! Manalo ng hanggang P77777! p777b7.xyz,Gambling Scam,3
+6394699***05,Mag-recharge ng 100p at makakuha ng 50K cash 1q2w3e8.ca,Investment Scam,6
+63951****042,winph.tv/paf 100% deposit bonus? Totoo yan! Doblehin ang iyong pera at saya ngayon.,Gambling Scam,3
+63907****378,"Experience the thrill at GJP's T.G.I.F event! Earn 6,888p + 1,000p bonus & spin for a Samsung Galaxy S23+ 5G. Visit gjpotfun.de now!",Gambling Scam,3
+63985****861,"(Name), various gifts in JACKPOTCITY are waiting for you to redeem!! More than P150,000! & Free 20 for all of you! Grab it while it still last! jackpotcityluckrich.com",Prize Scam,10
BDO Deals,"Book these exclusive fares at the BDO Travel Sale as low as USD248 (Economy) & USD888 (Business) to Japan, USD240 (Economy) & USD750 (Business) to Korea, USD404 (Economy) & USD2,880 (Business) to USA, USD563 (Economy) & USD2,016 (Business) to Europe. Book online at www. bdo. com. ph/ travel or onground at The Fifth at Rockwell on March 14-16, 2025. Travel til Feb. 28, 2026, unless specified. Search BDO Travel Sale on the BDO Website for T&Cs. DTI214485",Commercial Spam,1
+63985****001,"EPICWIN: NEW MOBILE LEGEND Slots , JILI GAMES Deposit and claim EXTRA 1000P TRY NOW : EpicWplay.com",Gambling Scam,3
+63991****759,"KUMITA HABANG NASA BAHAY LANG BE AN ONLINERS, LIKE US! CLICK LINK BELOW: m.me/TheOnlinersMessengers",Job Scam,7
+6390829***14,"Long time no see, I won 50K here, and I will get 777P as a gift when I log in. z4p5sy77ha.at",Gambling Scam,3
+63985****473,Your #BDO Account is under review Please make sure you have completed verification process here gg.gg/online-bdo-com to avoid Deactivation.,Bank Scam,0
+63946****826,"Long time no see, this is a 999P gift, sana matanggap mo 17a7be1t.at",Prize Scam,10
PLDTDeals,Keep your family's internet connection uninterrupted this Christmas season! Enjoy continuous internet as it automatically switches to LTE if your Fiber internet is interrupted. Only P299/mo. Visit PLDT Home website > Add-ons > Always On.,Commercial Spam,1
+63981****583,BPI ALERT: Suspicious login detected on your account. Verify your credentials within 24 hours to avoid permanent suspension: http://fdsv02.email,Bank Scam,0
GLOBEATHOME,"Hi! To make sure your broadband connection is running smoothly, we'll be doing a systems check in your area on January 6, 2026 from 8 AM to 5 PM. During this time, you may experience difficulty in using our home internet and landline services for up to 15 minutes. We're sorry for the inconvenience. Don't worry, services will be back to normal once we complete our activity. Once completed, simply restart your modem to start surfing again. Thank you!",Commercial Spam,1
+63951****262,Nanalo ako ng pera tuwing tumaya ako ng 500P at nanalo ng 10K. Maaaring ito ay isang BUG. Sumali ako sa URL: 177bet. xyz,Gambling Scam,3
+6394661***39,May Bonanza package! Magdeposito at makakuha ng 3 araw na libreng kredito UP to 300 p at 100% welcome bonus. Website : epcw.eu Maglaro ngayon!,Gambling Scam,3
+63981****947,BDO ALERT: <<Content not supported.>> Suspicious login detected on your account. Verify your credentials within 24 hours to avoid permanent suspension.,Bank Scam,0
+63900****000,Receive 146P FREE on 1st REFER! Claim now: ph.xtas111.net,Prize Scam,10
BDO Deals,"30% OFF on dimsum buffet at XIN TIAN DI w/ BDO Credit Cards -Min of 2, max of 6 pax -Mon-Sun, fr 8/15-10/31/24 Search Xin Tian Di on BDO web for T&C. DTI200174",Commercial Spam,1
+63948****108,"<REAL NAME>, Experience the thrill of W+ and get .6% UNLIMITED DAILY REBATE + PHP 66,000 BONUS! VIP URL: wplusjoin1.com",Gambling Scam,3
BDO Deals,"Upgrade your Apple experience with BUY NOW PAY LATER! Enjoy 0% interest up to 24 months term at Power Mac Center, The Loop stores and online with your BDO Credit Card. Offer is until June 30, 2025. Visit BDO website, click Deals and search Power Mac Center for promo details. T&Cs apply. DTI208437",Commercial Spam,1
+63970****546,"[ BANCO DE ORO ] Your account has been restricted due to unrecognized attempts, Failure to take action wil result in account termination within 24 hours. Update here pub.vin/BDO-Recovery",Bank Scam,0
+63920****859,"Just a minimum deposit, you can double your money! Bet & win easy at JACKPOTCOTY! *jackpotcity. x y z*",Gambling Scam,3
GCash,"ADVISORY: Starting April 30, 2023, Shopee will no longer accept GGives & GCredit as payment options. Regular GCash payment will remain in Shopee while GGives and GCredit will continue to be available at other GCash partner stores.",Commercial Spam,1
SMART,"Watch our very own Kai Sotto & the Orlando Magic in the NBA Summer League! Stream Orlando vs Pacers on Smart LiveStream, July 11, 8:30 AM: smrt.ph/livestream",Commercial Spam,1
+63987****526,Did you see the latest news about the concert?,HAM,5
BDO Deals,"30% OFF Dining Deals at The Podium Dine Better with your BDO Credit Card at the ff restaurants: Basil -Bom Gosto -Grifoni's -Jin Joo -LOLA -Nagi Izakaya -Nono's -Salvatore Cuomo -Sen Ryo -Shi Lin -P3K min dine-in bill -Max P3K OFF -Oct 30 to Nov 29 Search The Podium on BDO web for T&C. DTI205323, 205472",Commercial Spam,1
+6391098***82,"Register now to get 188 for free, First gift 168% Bonus again for new users who register and make first dep0sit :https://suo.yt/Vq2O2Te",Investment Scam,6
+63917****218,"Good day! Want to avail Cash Loan,Business Loan, AutoLoan, CondoLoan? For inquiries call me",Loan Scam,8
+63981****520,"DO YOU RECEIVED MY SMS MY DEAR, LET ME KNOW IN sophiavillanueva53@hotmail.com regarding the remote job opportunity. IT'S URGENT.",Job Scam,7
smart,"Your world is not the same as it was now that you get a chance to win a ticket to Harry Styles Love on Tour with the Smart Live raffle! Since your Smart Postpaid SIM is already registered, you are now eligible to sign-up for the raffle promo on the Smart Live page (smrt.ph/smartlive) from Feb. 6-21, 2023! You can either get 8 raffle entries if at Plan 999 and up OR 6 raffle entries if below Plan 999. Join now! T&Cs apply. DTI#160470",Commercial Spam,1
+63951****160,YG777 Nakatanggap ang iyong number ng P7748. Mag-register gamit ang number na ito at maglaro ng halagang P10 upang makuha. Sumali dito: boxlid.de,Gambling Scam,3
+63981****829,"Online Casino PH official page! P500 free bonus pag mag-message, withdraw real cash. Chat na: m.me/743315033069588/",Gambling Scam,3
ELEVATEPH,"Happy Birth Month! Treat yourself to a brighter smile with an exclusive 5% discount* on select dental services, valid all throughout your birth month. Book an appointment at your preferred branch: - Mitsukoshi BGC: 0917 159 9284 - BGC Stopover: 0917 829 4551 - Shangri-La Plaza: 0968 851 5420 - Alabang: 0917 114 0598 Hereâ€™s to another year of confidence and beautiful smiles from your Elevate Dental family.",Commercial Spam,1
+63917****846,"Celebrate Independence Day at Vu's Bar Sky Bar & Lounge! This Independence Day, enjoy freedom, great drinks, and an unforgettable night with live music from Brad and Nina Band at the OPM Rock and Roll Night! ðŸŽ¶ ðŸ“ Venue: Vu's Bar Sky Bar & Lounge, 45th Floor, Marco Polo Ortigas Manila ðŸ“… Date: June 12 â° Time: 8:00 pm Don't miss out on a night full of fun, great vibes, and amazing views! ðŸ¹",Commercial Spam,1
+63912****359,"P158 mobile freebie, iyo na ngayon! Plus, hanggang P1188 bonus sa unang deposito. ok3y5sss5hiyj7t8zoip54io.bonus.lc",Gambling Scam,3
+63917****595,Hi! AVAIL 5Ok-2M FAST&EASY TO process rply YES if interested,Loan Scam,8
SMART,Now serving PLDT customers at PLDT Smart L/G Cyberzone SM Manila.Visit us for any of your PLDT & SMART needs.,Commercial Spam,1
+63981****753,"Hiring online! P30,000-P80,000 monthly, no experience needed, flexible hours. Message kami sa Messenger: m.me/SuccessBusiness2021",Job Scam,7
+63950****443,I-download ang programa at makakuha ng P117 17v7li.bid,Gambling Scam,3
+63981****469,"THE PACKAGE HAS BEEN DELIVERED, IF YOU REALLY RECEIVED IT,LET ME KNOW IN nancyflores41@hotmail.com",Delivery Scam,2
BDO Deals,"Enjoy exclusive preview sale on limited edition seasonal pieces at Roger Vivier Boutique, Greenbelt 3, Makati on June 15 -17, 2025. Buy Now Pay Later at 0% interest for up to 12 months with your BDO Credit Card. RSVP to 09171474688. Visit BDO Website, Deals, search Roger Vivier for T&Cs. DTI208437, 226498",Commercial Spam,1
BDO Deals,"Up to P500 Cashback on Shopee 10.10 Sale w/ BDO Credit Cards! To join, enroll your Promo ID 432A4649AA til 10/11 For T&C,search Shopee on the BDO site.DTI203423",Commercial Spam,1
+63985****722,"[ BANCO DE ORO ] Your account has been restricted due to unrecognized attempts, Failure to take action will result in account termination within 24 hours. Update here : shorten.is/BancoDeOroUPDATE",Bank Scam,0
+63910****989,"Hello,<REAL NAME>!Register to play online and win P$50 at Slot Machine at 567cc.at/jMCg",Raffle Scam,11
+63981****027,"0kada 0nline casi-no welcomes you! P2,000 free credits for new members, slots and live dealer 24/7: https://bit.ly/3CDHbfV",Gambling Scam,3
+63909****076,"Elevate your status! Join Sbet VIP for up to 88,888p Bonus! New members score 3,000p Welcome Bonus + daily rewards! Sign up at SBCash.de !",Gambling Scam,3
BDO Deals,"Get up to 15% OFF when you shop online at www. changi. me/ bdo with your BDO Credit or Debit Card. Use promo code: BDODEALS15, maximum discount of SGD50. Promo runs until 08/31/2024. Search Experience Singapore with iShopChangi and BDO Cards on the BDO website for T&Cs. DTI175865",Commercial Spam,1
+63900****000,"Make money while watching YouTube, earn 518P per day, contact the tutor to receive 138P. ekja.bid",Job Scam,7
+63640****000,bonusph.tv/3nQa Dobleng saya sa unang deposito mo. I-claim ang 100% bonus at lumaro na!,Investment Scam,6
+6396153***94,Banco De Oro You're having issues with account security. Please review them at onlinemybdocares.click,Bank Scam,0
+63909****323,"<REAL NAME>, Get 50% daily deposit bonus! Earn 1000 daily & Win prizes at W+, Click now to claim Free20! wplushello.com",Gambling Scam,3
+63985****323,"Why are you still waiting, DEAR VIP Get your P1,00 T1bet Cash reward for completing the verification process. Join right away! t1betnew. c o m",Prize Scam,10
+63944****305,Please bring the files tomorrow. Don't forget.,HAM,5
+63969****529,"Joey from Tagaytay won P888,918 yesterday on Jili Slots. Join now to try it yourself. At the new, Philippines-licensed:bit.ly/3Iv47iv",Gambling Scam,3
GCash,G to upgrade your home! Just use GCredit to pay later at home appliance center near you. Go to your GCash dashboard and tap GCredit to start using it.,Commercial Spam,1
GCash,"ADVISORY: Starting April 30, 2023, Shopee will no longer accept GGives and GCredit as payment options. You may still enjoy using GGives and GCredit to pay for your Shopee purchases until April 30. GGives and GCredit will continue to be available at other GCash partner stores.",Commercial Spam,1
+63909****425,Happy Monday Lodi! Lunes na at 5 days nalang pasko na! Maraming handog na pamasko ang breakingnewsmanila.com/Game sayo! Ayain ang barkada at mag register na!,Gambling Scam,3
mayarewards,Parang isang kwentong pampelikula kung mananalo ka! Congrats on your 1 raffle entry to WIN EHEADS TICKETS! See winners by Nov. 14 on Facebook/Instagram!,Commercial Spam,1
+63968****745,Happy Anniversary to the best partner!,HAM,5
+63907****589,"We have received your interest in applying for a Credit Card with NO ANNUAL FEE FOR LIFE If you would like to proceed with your credit card application approval, kindly send only 2 valid IDs to our processing team via VIBER --> 09669346415 Once we receive your IDs, please wait for our verification call.",Bank Scam,0
+6390870***31,"Hello, you have won the prize 588P to enter ss775.live",Prize Scam,10
+63981****609,"Arnie B.,Mabuting kaibigan, bigyan blessing, bigyan ng 10 http://931ccx.com",Raffle Scam,11
+63909****281,"<REAL NAME>, Let's WINE UP! Deposit daily and WIN BIG PRIZES up to PHP8,888 only here at JACKPOTCITY! Click and Register now @ jackpotcityfree.com",Gambling Scam,3
GCash,"Sagot ka ni GGives this new school year! Get up to P1K cashback when you shop with GGives at SM Store and more! Check your GGives dashboard for more info. Promo runs from Jul 10 - Aug 10, 23. Per DTI Fair Trade Permit No. FTEB-171125. Series of 2023.",Commercial Spam,1
+63981****627,Hey! Respond me now please [jwarjfkj@gmail.com] it's hard to reach you regarding the urgent remote job vacancy.,Job Scam,7
+63985****579,"<REAL NAME>, Get 100% DEPOSIT BONUS on Jackpot City! Register now and get FREE MONEY! jackpotcityph10.com",Gambling Scam,3
+6391216***99,"Congratulation GCash User, You've been rewarded with a PHP 15,000 GCash Voucher from GCredit. Claim here: congratulation-vipgcash.website/claim Thank you for using GCash.",Bank Scam,0
BDO Deals,"You have 2 weeks left to get your P800 cashback! Sign up for BDO Pay and get P300! You'll get extra P500 when you spend P1,000 via Scan to Pay with your BDO Credit Card. That's P800 cashback in total! This promo is exclusive for NEW BDO Pay users with BDO Credit Cards and is available until April 15, 2025 only. Scan to Pay limit for Credit Card is up to the available credit limit. For Bank Account, the daily limit is P50,000. T&Cs apply. DTI 212203",Commercial Spam,1
+63969****990,"Ang pinakamainit na gaming platform ng 2022! Lodi, hanggang 100% cash back sa iyong unang deposito, i-download ang: http://fdsv09.co",Investment Scam,6
+63995****736,"[ PHBET ] The most popular online casino with 24h immediate cash in/out http://superwin.quest/z2r Lucky Wheel: up to 100,000PHP everyday!",Gambling Scam,3
BDO Deals,"Get up to P1500 IKEA Gift Card with a P15K BUY NOW, PAY LATER spend at IKEA Pasay City or online with your BDO Credit Card. Plus, enjoy 0% interest with min. spend: P10K for 3-month term P20K for up to 6-month term Promo runs from Jun 8 - Jul 31, 2024. Visit BDO website & search IKEA for T&Cs. DTI194775",Commercial Spam,1
+63900****000,Ang mga bago at lumang miyembro ng 177BET na nag-top up ng P177 ay makakatanggap ng P177 na bonus! 177betp.xyz,Prize Scam,10
+63931****485,Good night! Sweet dreams.,HAM,5
+63934****106,Thanks for the gift! Super cute.,HAM,5
+63640****000,Magdeposito para sa pagkakataong manalo ng iPhone 15 Pro Max okwin.tv,Prize Scam,10
+6395102***46,Mabilis na dep0sit at w1thdraw ba hanap mo ? Punta na ngayon sa link na ito para maglar0 { spsebc. eu },Gambling Scam,3
+63909****922,"(Name), Don't miss the chance to win burst prizes up to 88,888 here @ JACKPOT CITY PHILIPPINES with stable server! Sign up now. jackpotcitybetwin.com",Gambling Scam,3
+63985****580,"Dear BANCO DE ORO Customer, Account re-verification needed due to a system update. Follow instructions at official.link/update.bdo.ph . Thank you for your coop",Bank Scam,0
SMART,"2/2 Promo until November 5, 2023 only.",Commercial Spam,1
+63930****491,Ikaw ang maswerteng Makatanggap ng P888 na bonus >>> supervvvip.ca,Prize Scam,10
+63930****338,"Good day from GCash, Please be advised that we are asking everyone to verify their account to avoid deactivation tomorrow. Verify here: kol.vin/GcashRequest",Bank Scam,0
+63970****568,Claim 3000P FREE + stand a chance to win the VIVO V30e 256GB! Join the Slot Tournament now for your chance to win fantastic prizes! sbetcoinph.eu,Gambling Scam,3
+63981****589,"JB Gaming Online: Deposit P100, get P500 free credits! Slots, sabong, live dealer, lahat available. Sali na: http://bit.ly/JB-Gaming",Gambling Scam,3
+63981****386,"Kaibigan lumapit ka sa akin, hayaan kang maglaro gamit ang iyong mobile phone at kumita ng pera!/WhatsApp +639851908567",Gambling Scam,3
+63969****135,Hindi na-claim ang libreng bonus http://fdsv02.contact,Prize Scam,10
smart,"Don't forget to claim your Gift of Wellness from Smart. Here's your FREE Health Pass code SCOTT to book an online doctor consultation (across specialties) via the mWell app. Code is valid only until Feb. 28, 2023 Download the mWell app: mwellph.onelink.me/lnFL/sigSMS22 T&Cs apply. DTI#15731",Commercial Spam,1
+63948****725,It is easier to get a daily salary of 300P. Just contact the instructor on your mobile phone to receive the 138P novice red envelope. wanp.bid,Job Scam,7
+63995****052,"We have approved your interview on July 8, and you can easily get 2800P. Please contact in time:https://pxmd.co/liSG1",Job Scam,7
ntc,"PAALALA: ANG PAG-REHISTRO NG SIM AY LIBRE. MAG-INGAT DIN AT WAG MANIWALA SA MGA HINDI KILALA NA NAG-AALOK NG TULONG SA PAGPAPAREHISTRO, MAY BAYAD MAN O WALA.",HAM,5
