masked_celphone_number,text,intent,Cluster,
+63931****485,Good night! Sweet dreams.,HAM,,
+63977****500,Ano'ng oras ang dinner?,HAM,,
+63944****397,Happy Birthday Judy! God bless you.,HAM,,
+63948****506,"Okay, wait for me.",HAM,,
+63952****825,Call me when you're free. Urgent lang.,HAM,,
+63959****424,I'll buy the tickets online later.,HAM,,
+63999****966,Let's go to the beach this summer!,HAM,,
+63930****438,"Huy, asan ka na? Tagal mo naman.",HAM,,
+63934****106,Thanks for the gift! Super cute.,HAM,,
+63937****929,Thank you for the help earlier. Super appreciate it.,HAM,,
+63991****744,Stay safe always.,HAM,,
+63940****801,"Okay, sounds good to me.",HAM,,
+63940****596,Pwede mo ba ako samahan sa mall later?,HAM,,
+63916****947,Paki-abot naman ng bag ko. Thanks.,HAM,,
+63961****165,Pwede mo ba ako samahan sa mall later?,HAM,,
+63951****974,"Take your time, no rush.",HAM,,
+63972****240,Let's catch up soon! I miss you guys.,HAM,,
+63982****679,Punta ka ba sa party later?,HAM,,
+63918****429,"Ingat sa ulan, baka magkasakit ka.",HAM,,
+63924****390,Check out the link I sent on Messenger.,HAM,,
+63938****815,Did you get my email earlier?,HAM,,
+63971****789,"Sorry, late reply. Just saw your message now.",HAM,,
+63974****232,"Sige, see you at 5pm.",HAM,,
+63957****333,See you later! Ingat.,HAM,,
+63976****989,Can we reschedule our meeting? Something came up.,HAM,,
+63915****645,"Order na tayo, gutom na kami.",HAM,,
+63965****619,"Okay, I'll let you know once I'm there.",HAM,,
+63927****269,Can you send the slides for the presentation? Thanks.,HAM,,
+63968****726,"Guys, set na ba tayo this weekend?",HAM,,
+63929****582,"Ingat sa ulan, baka magkasakit ka.",HAM,,
+63934****884,"Take your time, no rush.",HAM,,
+63925****474,Are we still on for the movie tonight?,HAM,,
+63962****498,"Sabi ni Boss, move raw ang meeting to 2pm.",HAM,,
+63944****429,Call me when you're free. Urgent lang.,HAM,,
+63984****761,Can you help me with this later?,HAM,,
+63981****426,Ano ulam natin tonight? Hungry na ko.,HAM,,
+63983****307,Thanks for the gift! Super cute.,HAM,,
+63970****315,"Order na tayo, gutom na kami.",HAM,,
+63979****361,I'll be home in 20 minutes.,HAM,,
+63941****431,Mag-ingat kayo palagi.,HAM,,
+63920****739,Ingat ka sa pagda-drive.,HAM,,
+63953****359,Bili tayong food online? Craving for pizza.,HAM,,
+63910****207,"MMDA NO-CONTACT Apprehension:
Visit gov-md.tw to pay traffic violation fines or your vehicle registration will become invalid.",Government Spoofing,,
+63948****772,"MMDA No-Touch Arrest Penalty Notice:
Pay traffic fines through phmy.tw upon notification or driver permit will be suspended for 30 days.",Government Spoofing,,
+63985****247,"MMDA No-Touch Arrest Penalty Notice:
Visit go-phgov.tw to pay traffic violation fines or your vehicle registration will become invalid",Government Spoofing,,
+63981****668,"Idownload ako, bigyan kita ¤10, sumali sa team mayaman http://5irpkseo.com",Gambling Scam,,
+63981****800,It's really Important that you should contact my email as soon as possible about your work (diegomendoza326145@gmail.com),Job Scam,,
+63981****007,Mega888 Grand Opening,Commercial Spam,,
+63981****174,Email for details: rp865233@gmail.com,Job Scam,,
+63981****243,"SMSCaster.com: Congratulation! Your number was selected among the Winners of the COVID_19 Relief Funds/grant of $500,000.00 USD. Ref: COV-19. Kindly contact our helpdesk for claims @ info.ifchelpdeskk@gmail.com",Government Spoofing,,
+63981****055,Invest your small amount only 1peso l0wbet at manalo ng 6.5Million jackpot only here bit.ly/BINGOPLUS2 Free40PHP after sign-up. Easy cash in/out via gcash,Gambling Scam,,
+63981****738,"6.4M JACKPOT PRIZE! Try your luck, 1p L0WBET and get Free 40p after register! Join now! bit.ly/BingoplusPHAPP",Gambling Scam,,
+63981****893,"[NAME],sa mybitglobal magbukas ng account at may pera! Magandang oportunidad, kunin http://lfhh5x.com",Investment Scam,,
+63981****209,"[NAME].,mybitglobal, lagyan ng yaman ang bulsa http://5irpkseo.com",Investment Scam,,
+63981****275,"[NAME],Magbibigay ng red envelope, may oportunidad makakuha ng ¤1000 http://lais7m.com",Investment Scam,,
+63981****281,"May sorpresa para sa mga bagong miyembro na magdeposito ng 100, na bonus mo  http://fdsv20.info",Investment Scam,,
+63981****520,"DO YOU RECEIVED MY SMS about your application,LET ME KNOW IN sophiavillanueva53@hotmail.com IT'S URGENT.",Job Scam,,
+63981****596,ako daw po yung masuwerteng bituin ng T1BET,Gambling Scam,,
+63981****598,ako daw po yung masuwerteng bituin ng T1BET,Gambling Scam,,
+63981****619,"SOLAR 3 WAY LIGHTS
SOBRA GANDA AT FORMAL ILAGAY SA WALL

CLICK HERE FOR PICTURE AND PRICE --->  https://s.lazada.com.ph/s.4ZgRn

BUY 1 TAKE 1 TODAY ONLY!!!",Commercial Spam,,
+63981****627,Hey! Respond me now please if you are looking for work[ jwarjfkj@gmail.com],Job Scam,,
+63981****209,"Ang aking pangarap sa para ating bansa ay ipagkaisa muli ang sambayanang Pilipino. At para tayo ay haharap sa buong mundo at sasabihin at isisigaw natin, ""AKO AY PILIPINO, TAAS NOO KAHIT KANINO!""

https://www.facebook.com/BongbongMarcos/videos/766933458023298/

Please LIKE & SHARE. Maraming salamat po!",Commercial Spam,,
+63981****211,"<name>,nagbigay ng pera ang mybitglobal, pindutin para magbukas ng account at may 600p http://casjp3.com",Investment Scam,,
+63981****343,"Pinakamahusay na online platform [NAME]., 5C2SH partner! I-cl5ck para mag-cl5im ng 10,000 b2nus ngayon! N8q+CdEKKpY= jijiph.com/PHILIPINES1314",Prize Scam,,
+63981****353,"(full name) ,Kaibigan! Bibigyan ka ng 600p cash reward, isang pindot para kunin http://lais7m.com",Prize Scam,,
+63981****377,"Congratulations!
Your no.had Win
Php(580.000,00
+1YAMAHA NMAX
From: KOPIKO BLANCA MAGKAPERA
to claim your prize!
text your NAME/AGE/ADD And WORK
Thank you!",Prize Scam,,
+63981****377,"4 na pirasong SOLAR LIGHTS sa halagang 1,499.

Click mo eto para bumili --> https://s.lazada.com.ph/s.UrR50

Yes! Apat na piraso ! Dahil naka SALE siya ngayon!

100 watts bawat isa, 400 watts total watts ng 4 na piraso.. Good deal sobrang tipid !!

3 modes siya :
STEADY LIGHTS
SENSOR LIGHTS
DIM LIGHTS",Commercial Spam,,
+63981****388,Handog sayo [NAME]. Sa bagong platform sa bansa Wplus ang 5500 bonus at 3% sa bawat deposito N8q+CdEKKpY=. wplus4you.com/M3l3k3ng-b5n5s,Investment Scam,,
+63981****410,"Your bank has been trying to contact you, It's really important that you should contact my email as soon as possible { brettf829@gmail.com }",Banking Scam,,
+63981****412,"[NAME],Kaibigan, may sense ba magsend ng libreng pera? Pindutin para kunin!http://2xnvte.com",Prize Scam,,
+63981****445,"Dear , 
Watch our se.xy deaIer tonight! 
Enter exclusive VIP code: GANDA sa log-in 
luckyphil.com/login",Gambling Scam,,
+63981****451,"Dear Our Valuable Customer, Welcome Back to Claim Your Rebate and Our JILI and FC Jackpot Is Awaiting for You. You can access from here https://winnk.in/tHO4o",Gambling Scam,,
+63981****453,"BDO ALERT: Your account is temporarily on-hold, due to security purposes. Kindly verify your account https://t.ly/BDOAlertVerify_",Banking Scam,,
+63981****475,"Greetings from GCash,

Claim your PHP 3,500 worth of GCash Loyalty Card provided by GCash Credit.

Redeem here:
https://twtr.to/GSaveTeams

From, GCredit",Banking Scam,,
+63981****529,"Congratulations!
Your no.had Win
Php(580.000,00
+1YAMAHA NMAX
From: KOPIKO BLANCA MAGKAPERA
to claim your prize!
text your NAME/AGE/ADD And WORK
Thank you!",Prize Scam,,
+63981****529,"[INB@T] Amusement and benefit. Fast GCASH, Paymaya IN/OUT First deposit will get cash back 3%! https://paws.ind.in/7K4qm 6lKk",Investment Scam,,
+63981****538,Write to me if youre still interested in the position: gregrch34@gmail.com (3x nag text),Job Scam,,
+63981****605,"OKBET Umiwas sa peke site, Dito ka lang sa OKBET https://nsfevg.sa.com",Gambling Scam,,
+63981****625,"can't reach you may be network contact me here urgently, here is P300 load so you can call",Pasaload Scam,,
+63981****635,Good day this is Mr. Joshua McConnell. Please reply me immediately on this E-mail to settle your debt(mccllj458@gmail.com ),Loan Scam,,
+63981****983,"4 na pirasong SOLAR LIGHTS sa halagang 1,499.

Click mo eto para bumili --> https://s.lazada.com.ph/s.UrR50

Yes! Apat na piraso ! Dahil naka SALE siya ngayon!

100 watts bawat isa, 400 watts total watts ng 4 na piraso.. Good deal sobrang tipid !!

3 modes siya :
STEADY LIGHTS
SENSOR LIGHTS
DIM LIGHTS",Commercial Spam,,
+63981****668,"Tadz,Nasayo ang swerte, libreng ¤10 sayo http://aq63xi.com",Prize Scam,,
+63981****127,Ngayon po ang Start ng Big Sale namin Up to 60% discount sa lahat ng items namin. Click this para makita ang mga product --> https://s.lazada.com.ph/s.UF1Ha Meron po kaming: Solar Lights Emergency lights Massage gun Laptop stand Air purifier Facial Acne steamer Air fryer at madami pang iba.,Commercial Spam,,
+63981****180,new PH Game Platform Online ! Let Play U Prefer Game AND WiN BIG CasH! Register Now FREE 178 BONUS. ONLY AT cod11.cc,Gambling Scam,,
+63981****182,"4 na pirasong SOLAR LIGHTS sa halagang 1,499. Click mo eto para bumili --> https://s.lazada.com.ph/s.UrR50 Yes! Apat na piraso ! Dahil naka SALE siya ngayon!",Commercial Spam,,
+63981****741,i.deaI'Choice: Sa'isang'd*posit'baka'makha'ng'higit'5k'pes*s'b*nus' http://phonline.beauty/nfX '24H'1mmediate'C*sh'In/Out,Investment Scam,,
+63981****754,"Try our hot Games! Slot, Poker, Sports and MORE 100% Deposit rebate! Come and play with our Live Casino girls! onlinebet.ph/JB-game",Gambling Scam,,
+63981****776,Sa maliit na halaga may chance ka ng maging MILYONARYO.,Investment Scam,,
+63981****792,"Greetings from GCredit, Please Claim your PHP 5,000 worth of GCash Loyalty Card provided by GCredit Team. Claim here: https://t.ly/gcash.ph",Prize Scam,,
+63981****841,Pagod ka ba sa mag hapon na pagtratrabaho ??? Marerelax ka sa aming NEW MASSAGE GUN. CLICK HERE TO BUY --> https://s.lazada.com.ph/s.UUM6r Naka SALE ngayon.,Commercial Spam,,
+63981****885,SOLAR 3 WAY LIGHTS SOBRA GANDA AT FORMAL ILAGAY SA WALL CLICK HERE FOR PICTURE AND PRICE ---> https://s.lazada.com.ph/s.fz8pd BUY 1 TAKE 1 TODAY ONLY!!,Commercial Spam,,
+63981****957,"Hindi magiging katotohanan ang kasinungalingan, maski ni like pa ang post na ‘yan ng libu lbong tao, o maski maging viral o trending . Maging mapanuri sa mga posts ng bloggers , vloggers at influencers.-2182",HAM,,
+63981****005,REGISTER and DEPO GET UP TO PHP5000 WELCOME BONUS!!Small amount to win BIG 2M JACKPOT!!24/7chat:https://atbunny.bet/help VISIT:https://t.ly/ATEbunny@02.com,Gambling Scam,,
+63981****161,Your BDO number has been suspended until further notice. ReActivate on our official page: https://rebrand.ly/s08h7th,Banking Scam,,
+63981****253,"4 PCS SOLAR LIGHTS FOR ONLY 1,499 !! Pinaka mura na Solar sa Market ! BILI NA ! CLICK HERE TO BUY --> https://tinyurl.com/4en84z45 BUY 2 TAKE 2 TODAY ONLY!!",Commercial Spam,,
+63981****265,SOLAR 3 WAY LIGHTS SOBRA GANDA AT FORMAL ILAGAY SA WALL CLICK FOR PRICE/BUY ---> https://s.lazada.com.ph/s.V9Nyq Shop Now: (NEW ITEM 58% OFF SALE) BUY 1 TAKE 1 TODAY ONLY!!! PAKI-CLICK ANG LINK SA TAAS PARA MAKITA ANG PRESYO AT PICTURES. LED Super Bright 3 Adjustable Heads Motion Sensor Lights Waterproof and Wireless TIPID SA KURYENTE !! IWAS MAGNANAKAW AT AKYAT-BAHAY SA GABI !!,Commercial Spam,,
+63981****618,Ideal-Choice!! Sa isang dposit baka makha ng higit 10k pe-sos b.o.n.u.s. 24/7 Im mediate Ca.sh In/Out. http://okadaonline.shop/exH,Investment Scam,,
+63981****140,"lahat ginagamit ako para kumita ng 1 milyon, wag ka magpahuli http://gtgtjl.com",Investment Scam,,
+63981****486,"NOTE! your simcard no. had won php730,000.00 frm: san miguel corp. 4 more info & dtails.txt your name/add/age/occupation.im sec:RUDY T. VALDEZ. Dti#3202s20",Prize Scam,,
+63981****499,B.e.s.t /On.lin'e/ /C@si'no% With24/7 Cah In/Out http://pbgaming.pics/BFd Si'gn up and 1OOO Ge.t 1OOO,Gambling Scam,,
+63981****516,U.A.E. JOB ALERT: SEND YOUR RESUME TO info@ismailnasirshipping.com FOR APPLICATION.,Job Scam,,
+63981****530,"you will get an income of 240 to 700 pesos for promoting products, and you do not need to pay any fees for completing basic tasks, https://kikixe.com",Job Scam,,
+63981****206,"you can earn an extra 3000-5000 every day! recruit staff online! flexible working hours and locations, please contact: https://wa.me/+639774051291",Job Scam,,
+63981****261,your parcel is ready for delivery. confirm your shipping details. check here: guhjes.me/JGKvlro,Delivery Scam,,
+63981****278,"YOU  WON!!!, see what i have for you, reply to: mastjohn586@gmail.com",Prize Scam,,
+63981****337,"You need to settle your debt, get back to my email now; mtvgxx@gmail.com",Loan Scam,,
+63981****341,"SMS PASS: (MY FULL NAME) PIDN: B04796 / A3(adults with co-morbidity) dalhin:ballpen, valid id at med. cert./clearance or reseta. sa iyong 1st dose covid-19 bakuna sa 9/7/2021 8am-2pm, pacita astrodome. reply confirm. rc: VEI07A",Government Spoofing,,
+63981****422,BPI URGENT:kindly contact luis_garry@yahoo.com,Banking Scam,,
+63981****469,"THE PACKAGE HAS BEEN DELIVERED, IF YOU REALLY RECEIVED IT,LET ME KNOW IN nancyflores41@hotmail.com",Delivery Scam,,
+63981****658,"Ang iyong unang deposito araw-araw na may mga karagdagang benepisyo, ano pa ang hinihintay mo  http://fdsv03.org",Investment Scam,,
+63981****848,magrehistro na ngayn  meron ka 100 %  /C.A.S.H/  back hangang 5OOO/P.H.P/ http://betting.pics/JsK W'l@N 100M WITH 24/7 C@S'H IN/OUT,Gambling Scam,,
+63981****916,"Winning Number 6FBJ:You have won $850,200USD in our 2022 Qatar FIFA WorldCup Prize award. Contact Cruz ttttimco@gmail.com and claim Prize",Prize Scam,,
+63981****105,pakiusap pakikuntak si mr. gerald sa kanyang email geraldleug@yahoo.com from BDO. meron siyang mahalagang sasabinhin sayo. maraming salamat.,Banking Scam,,
+63981****756,Do you wish to live and work ABROAD?. Vacancies available!!! kindly contact me on my Email now for details: rp247568@gmail.com,Job Scam,,
+63981****786,Makakatanggap ka ng 5000 cash! Pumunta lang sa website na ito: bit.ly/get5kblog at e click ang google ads na inyong makikita sa kahit anong page ng site.,Prize Scam,,
+63981****798,"[Complete Name!],Red envelope ng mga bago dumating na, pinduin para kunin ang ¤10 http://9dv1t8.com",Investment Scam,,
+63981****839,"Kulang ang sahod, magrehistro saakin, makakuha ng 600p http://aq63xi.com",Investment Scam,,
+63981****863,"FREE DAILY 588P!24/7 online platf0rm!COCKF1GHTINGLIVE CAS1N0
SLOTS, F1SHING N MORE!web: https://bit.ly/Lb17dHdy",Gambling Scam,,
+63981****875,No.1 ONL!NE CAS|N0 pinaka trusted p|atform sa Pinas and meron daily b0nus and bi|is mg cash in-out 24/7. http://pcplat.com,Gambling Scam,,
+63981****894,"Narito na ang Sikat at bagong Platform para sayo,Ang Wplus ay mayroong 5500 bonus at 3% sa bawat deposito QTF18jZa0VY=. w3npl5s.com/M3y3m3n",Raffle Scam,,
+63981****904,0kada On|ine CAS|NO pinaka trusted platform sa Pinas and meron daily bonus and bilis mg cash in/out 24/7.  https://bit.ly/3Rb4pyJ,Gambling Scam,,
+63981****917,ikaw ang maswerteng na pili SaF2rxfQYl8=  na makakuha ng libreng Slot game bonus at libreng 3000 bonus. Iclaim ito upang makapaglaro at manalo. ti4yougame.com/M3lig3y3ng-P3gd3t1ng,Gambling Scam,,
+63981****919,Salary or Business Loan? Avail our promo 30kto2M. For Fast transaction. Call me,Loan Scam,,
+63981****921,Goodam po musta napo. Baka pwede na akong amningil ngayon,Loan Scam,,
+63981****008,"ENMAR F.,Boss, nanalo ka ng 600 pesos bonus, isang pindot para kunin! http://gcxvd2ny.com",Prize Scam,,
+63981****877,Please do not fail to do everything you can to contact me to addres your missing payment here: gregrds37@gmail.com,Loan Scam,,
+63981****990,IMPORTANT NOTICE. WE ARE INFORMING YOU THAT WE ALREADY FORWARDED YOUR NAME FOR BLACKLISTING. YOU WILL BE BANNED TO ALL LENDING COMPANIES AND BANKS IF YOU STILL REFUSE TO REPAY. EXPECT THE DEMAND LETTER TO YOUR HOME ADDRESS. TO AVOID THIS KINDLY PAY IN FULL YOUR OVERDUE TODAY.,Loan Scam,,
+63981****453,"The most professional slot machine betting platform in the Philippines http://superwin.pics/iX5 slot machine battle, get lucky 30,000PHP bonus everyday",Gambling Scam,,
+63981****602,"4 na pirasong SOLAR LIGHTS sa halagang 1,499.

Click mo eto para bumili --> https://s.lazada.com.ph/s.UrR50

Yes! Apat na piraso ! Dahil naka SALE siya ngayon!

100 watts bawat isa, 400 watts total watts ng 4 na piraso.. Good deal sobrang tipid !!

3 modes siya :
STEADY LIGHTS
SENSOR LIGHTS
DIM LIGHTS",Commercial Spam,,
+63981****606,"The most popular Filipino C asino with 24/7 Immediate Cash In/Out. Register Now Get 5,000PHP FREE 5,000PHP http://pbgaming.xyz/lCr WIN 1 Million NOW!",Gambling Scam,,
+63981****612,"The most popular Filipino C asino with 24/7 Immediate Cash In/Out. Register Now Get 5,000PHP FREE 5,000PHP http://pbgaming.xyz/lCr WIN 1 Million NOW!",Gambling Scam,,
+63981****614,GOOD NEWS! ISA KA SA PWEDENG MANALO NG HIGIT SA ISANG MILYONG PISO SA PAGLALARO. I-DOWNLOAD NA! http://phpoceans.com,Raffle Scam,,
+63981****637,"[NAME], Sikreto kong natulungan yumaman ang maraming tao, halika dito: http://931ccx.com",Investment Scam,,
+63981****646,"hottest online games poker  slots and P5,OOO bonus everday https://cutt.ly/MLVOFKE  24/7 Immediate Cash In/Out",Gambling Scam,,
+63981****653,"Your 603.70 Points 
will Expire on 
JULY 31, 2022.

CONVERT to P600 Prepaid
 
Just Dial:
 
*
100*1*O9557986055*600*1*# 
 
Then Press CALL",Pasaload Scam,,
+63981****193,"WELCOME BONUS: 201 GET 201, 1001 GET 1001, 5000 GET 5000. *24/7 Immediate Cash In/Out More https://reurl.cc/55jXOq",Prize Scam,,
+63981****281,"From: PCSO Draw coordinator Mr ARIEL DE OCAMPO, Tayaan mo ang 3DLOTTO# na (131) 400pesos target at 600pesos rambol. Tawag agad pgkatpos mkataya!",Raffle Scam,,
+63981****497,"Buddy! Try your luck here! 2.6M JACKPOT PRIZE! You might be the next millionaire! Register now and get FREE 60P, luckyphil.com/login will have SABONG Soon,",Gambling Scam,,
+63981****514,"[Full Name (not GCash)],Lahat ginagamit ako para kumita ng ¤1 milyon, wag na magpahuli http://gjgtjl.com",Investment Scam,,
+63981****542,"[Full GCash Name],Wag magpaiwan, sabay sabay idownload, bilisan kunin ang ¤10 http://931ccx.com",Investment Scam,,
+63981****695,"NEED CASH? Meron Ka Bang FULLY PAID NA ""CAR & TRUCK"" Sangla Your ORIGINAL OR-CR Into CASH W/Out Taking A UNIT Starting 0.88% Monthly Look For CHERRY 09338184029",Loan Scam,,
+63981****740,"OUR COMPANY NEEDS YOU,
HOMEBASED BUSINESS.

EARN BIG WHILE AT HOME.

INTERESTED?
CLICK LINK BELOW:

m.me/110002170861550",Job Scam,,
+63981****747,"KUMITA NG MALAKI HABANG NASA BAHAY LANG.

BE AN ONLINERS LIKE US!!

INTERESTED?
CLICK LINK BELOW:

m.me/103766741492520",Job Scam,,
+63981****761,"GMA-7 NOTICE MA'AM SIR CONGRAT'S PHP350,000. SPONSORED  MR. WILLIE REVILLAME PLS TXT NAME AGE ADDRESS WORK CALL ME NOW ATT. REY A. LOPEZ DTI#6589.THANK YOU..",Prize Scam,,
+63981****789,Sign in to win your lucky jackpots. Fast and safe cash in/out. Most trusted g@me site in phil. Register now to join https://lihi3.com/XPbEl ciRX,Gambling Scam,,
+63981****807,"CONGRATS!YOU HAD WON!PHP350,000.00)2ND PRICE FROM:GMA7&(SHOPEE)DTI PERMIT#1205'SERIES OF 2021 TO CLAIM TEXT UR NAME: ADD: AGE: WORK:)CALL US ATTY.KYLE A. TORRES",Prize Scam,,
+63981****813,Pakiusap pakikuntak si Mr. Kristoffer sa kanyang email; kzum90@yahoo.com. Meron siyang mahalagang oportunidad para sayo. Maraming salamat.,Job Scam,,
+63981****869,No.1 ONL!NE CAS|N0 pinaka trusted p|atform sa Pinas and meron daily b0nus and bi|is mg cash in-out 24/7.   http://pqplay1.com,Gambling Scam,,
+63981****884,"Your 600 Retàiler Points
will Expire Soon.
Convert to Bonus
600 PrepaidLoàd

Just Dial

*
100*1*09531835656*600*1*#

Then Press CALL

Until:
NOVEMBER 10, 2021",Pasaload Scam,,
+63981****897,No.1 ONL!NE CAS|N0 pinaka trusted p|atform sa Pinas and meron daily b0nus and bi|is mg cash in-out 24/7.   http://pqplay1.com,Gambling Scam,,
+63981****938,Hi this is Inspiro. Earn up to 100K and get *20K Joining Bonus as INBOUND Sales Specialist. Click here to apply: https://talkpu.sh/3PKja,Job Scam,,
+63981****982,let's discuss the job on this email ( infopacif4@gmail.com ),Job Scam,,
+63981****991,"Dear Our Valuable Customer, Welcome Back to Claim Your Rebate and Our JILI and FC Jackpot Is Awaiting for You. You can access from here https://winnk.in/tHO4o",Gambling Scam,,
+63981****992,"ECQ. of  YEAR'2021  Ma'am/Sir. Congrat's  You are lucky  winner of'(Php  350,000.)from.( SEN. MANNY  PACQUIAO.).To Claim Please send your.NAME/AGE/ADD/WORK/.Im Sec.Jade L.Ayala dti'FTEB#24000'S2021. thank  you!",Prize Scam,,
+63981****996,"(GCash Name),idownload ang mybitglobal, ""hands on"" ito, hindi pangarap ang bahay at kotse http://wdb4afgo.com",Investment Scam,,
+63981****029,"Gusto mo ba yumaman? Idownload ang http://gjgtjl.com, magbukas ng account at may 600p",Investment Scam,,
+63981****116,by SMSCaster.com: URGENT HIRING FOR ONLY DH WORK ABROAD.:Domestic Helper OFW kindly contact:09975949395 free accomodation and food and transpo.100% legit.,Job Scam,,
+63981****119,by SMSCaster.com: URGENT HIRING FOR ONLY DH WORK ABROAD.:Domestic Helper OFW kindly contact:09975949395 free accomodation and food and transpo.100% legit.,Job Scam,,
+63981****129,"(GCash Name),Hi! Friend, pindutin ang http://5irpkseo.com may makakha ng perang panglaro, mabilis kumita",Prize Scam,,
+63981****790,"-Limited time event- (9-11PM)
Time to draw your first golden eggs & get million bonus baby! 
Deposit only P1K to avail onlinebet.ph/JBgames",Gambling Scam,,
+63981****832,Gumamit ng leverage at yumaman sa isang ataw! Kailangan lang sumali at magdownload https://t.hxfxph.com/MRGyp,Investment Scam,,
+63981****875,"May offer ngayon, magrehistro at may 10 http://nab60q.com",Investment Scam,,
+63981****879,"mybitglobal, propesyonal na currency exchange na plataporma, mabilis kumita ng pera https://t.co/LTgQbtqrRn",Investment Scam,,
+63981****901,"4 PCS SOLAR LIGHTS FOR ONLY 1,499 !
Pinaka mura na Solar sa Market !
BILI NA !

CLICK HERE TO BUY --> https://s.lazada.com.ph/s.UbrFB

BUY 2 TAKE 2 TODAY ONLY !",Commercial Spam,,
+63981****914,"FIRST New Register MEMBERS Depo100 free100P..free up to 5000P!DONT NEED DOWNLOAD APP,STRAIGHT PLAY AND Easy Win All GAME! https://t.ly/ATEbunny@02.com",Raffle Scam,,
+63981****037,"Your number is out of network coverage, I'll give you 500P load to get back to me, contact here first:bertche6732@gmail.com",Pasaload Scam,,
+63981****038,"DEAR BENEFICIARY,CLAIM YOUR APPROVED UNPAID COVID 19 AMELIORATION CASH  GRANT FOR AGED,RETIRED & PENSIONIEERS.EMAIL THE CORDINATOR-  aguiladorcasa@gmail.com",Government Spoofing,,
+63981****082,"Free 128P MG account opening, https://bit.ly/3yqbR2l",Investment Scam,,
+63981****152,Dear applicant you are selected as Part/Full-time staff. Now you can work from home and earn 8000 Peso daily. please click https://bit.ly/3MNa9fX,Job Scam,,
+63981****163,Dear applicant you are selected as Part/Full-time staff. Now you can work from home and earn 8000 Peso daily. please click https://bit.ly/36KRq4j,Job Scam,,
+63982****943,"SOLAR 3 WAY LIGHTS
SOBRA GANDA AT FORMAL ILAGAY SA WALL

CLICK FOR PRICE/BUY --->  https://s.lazada.com.ph/s.V9Nyq

Shop Now: (NEW ITEM 58% OFF SALE)
BUY 1 TAKE 1 TODAY ONLY!!!

PAKI-CLICK ANG LINK SA TAAS PARA MAKITA ANG PRESYO AT PICTURES.

LED Super Bright 3 Adjustable Heads
Motion Sensor Lights
Waterproof and Wireless

TIPID SA KURYENTE !!
IWAS MAGNANAKAW AT AKYAT-BAHAY SA GABI !!",Commercial Spam,,
+63985****316,???Tuklasin ang iyong husay! Check this audio book summary and discover your strengths. https://peoplecademy.net/details/811,Commercial Spam,,
+63985****022,"1/2MA'AM&SIR
Ur sim# Had
WonPHP550,000
FROM GMA MILYONATION,
For more info text ur NAME/ADD/AGE Call This#09359554557
I'M Atty: Rafael A.Chavez/DTI # 1143 s'21.",Prize Scam,,
+63985****452,Great News! You are chosen to be the lucky winner of our Netflíx T-shirt and Mug. To continue the process reply YES. Thank you for choosing Globe Postpaid.,Raffle Scam,,
+63985****321,"Dahil nabasa mo ito, sign na ito para mag laro! click the link now!! :  http://fdsv05.site",Gambling Scam,,
+63985****687,"Hi L D. , 
Nandito na ang best way para kumita ng datong!
Log in and receive 60P
philnewz.com/login",Investment Scam,,
+63985****532,Get cash when you need it. Borrow any mount from 30k up to 2m to anything for your Personal consumption. Apply now for free! Call me,Loan Scam,,
+63985****532,"YoU cAN AvAiL 50K-2M Fast,& Easy approVEd..txt or call 09504250181
LOOK FOR MS. JEN",Loan Scam,,
+63985****532,GOOD DAY! We Offer 50k-2M EASY PROCESS AND SECURED TEXT ME FOR MORE INFO 09504250181  LOOK FOR Ms.ELA,Loan Scam,,
+63985****532,"Job Open Offer,:Forward your updated resume directly to the establishment @ fdp589752135@gmail.com , Get a chance to work in a decent country.",Job Scam,,
+63985****860,"Hl!! AVAlLUP 5Ok-2M Easy T0 R0CESS,CaIl wor Text 09928209902",Loan Scam,,
+63985****877,"Avail 50k up to 2M...w/ fast@ secured ..reply //how /call
09093702219 look Ms. Carla",Loan Scam,,
+63985****976,Limited Time Only! http://betting.pics/Apo 50% Daily UNLI Deposit Bonus. the upper limit of a single bonus is 10000PHP,Gambling Scam,,
+63985****765,"May offer ngayon, magrehistro at may ¤10 http://nab60q.com",Investment Scam,,
+63985****790,"[NAME],Hi! Magbukas ng account at may ¤10, first come first serve http://2xnvte.com",Investment Scam,,
+63985****877,"[NAME],Siguradong kikita na software, idownload na ang mybitglobal, magbukas ng account at may ¤10 http://casjp3.com",Investment Scam,,
+63987****655,NO.1 Legal na online game sa Pilipinas!   http://fdsv08.site,Gambling Scam,,
+63991****622,"[NAME],Bilisan sumali, magbukas at may ¤10 ka panglaro!http://gcxvd2ny.com",Gambling Scam,,
+63991****885,Handog sayo [NAME] Sa bagong platform sa bansa Wplus ang 5500 bonus at 3% sa bawat deposito YDFzs+bdk60=. w3npl5s.com/M3y3m3n,Gambling Scam,,
+63991****917,"4 na pirasong SOLAR LIGHTS sa halagang 1,499.

Click mo eto para bumili --> https://s.lazada.com.ph/s.UrR50

Yes! Apat na piraso ! Dahil naka SALE siya ngayon!

100 watts bawat isa, 400 watts total watts ng 4 na piraso.. Good deal sobrang tipid !!

3 modes siya :
STEADY LIGHTS
SENSOR LIGHTS
DIM LIGHTS",Commercial Spam,,
+63992****316,Makakatanggap ka ng 5000 cash! Pumunta lang sa website na ito bit.ly/yandex20223 at e click ang google ads na inyong makikita sa kahit anong page ng site.,Prize Scam,,
